	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪	d̺	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:+	b̤	d̪̤	d̺̤	ɡ̤	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t̪	t̺	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ	t̺ʰ	kʰ	4/4	1.0
	4/4	4/4	4/4	4/4
	1.0	1.0	1.0	1.0
