	labial:+;labiodental:-;coronal:-;dorsal:-	labial:+;labiodental:+;coronal:-;dorsal:-	labial:-;labiodental:0;coronal:+;dorsal:-	labial:-;labiodental:0;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	v	z	ɣ	4/4	1.0
periodicGlottalSource:-		f	s		2/4	0.7651937739542444
	1/2	2/2	2/2	1/2
	0.5479002076962644	1.0	1.0	0.29522793278914716
