	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+	ts̰	t̠ʃ̰	2/2	1.0
periodicGlottalSource:-;constrictedGlottis:-		t̠ʃ	1/2	0.5088836139570201
	1/2	2/2
	0.014483243889926289	1.0
