	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+;category:affricate|plosive	p̰	-	t̰	ts̰	t̠ʃ̰		k̰ʷ	q̰	q̰ʷ	7/8	0.6926324262179251
periodicGlottalSource:+;constrictedGlottis:+;category:fricative		-		s̰			-			1/7	0.7191948173406411
periodicGlottalSource:-;constrictedGlottis:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;sonorant:+,-;nasal:+,-;category:fricative		ɬ		s	ʃ		xʷ	χ	χʷ	6/9	0.6449372864869596
periodicGlottalSource:-;constrictedGlottis:-;category:affricate|plosive	p		t		t̠ʃ	k	kʷ	q	qʷ	7/9	0.9241233389536399
	2/4	1/2	2/4	3/4	3/4	1/4	3/3	3/4	3/4
	0.767009770182515	0.7344277510625804	0.9367127258316402	0.6580840405491342	0.9999518516685921	0.832128616707396	1.0	0.9989006264596504	0.9944446679073297
