	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+	-	s̰		-			1/4	0.7392621112161801
periodicGlottalSource:-;constrictedGlottis:-	ɬ	s	ʃ	xʷ	χ	χʷ	6/6	1.0
	1/1	2/2	1/2	1/1	1/2	1/2
	1.0	1.0	0.9998838729916512	1.0	0.9988005074259227	0.9898346101669345
