	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɖ	ɡ	4/4	1.0
periodicGlottalSource:-	p		ʈ	k	3/4	0.9188438666528305
	2/2	1/2	2/2	2/2
	1.0	0.32572601832016884	1.0	1.0
