	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;anterior:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d		2/3	0.6610119013206708
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive		t	k	2/3	0.7407391023801491
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s		2/3	0.8708878021009361
	2/3	3/3	1/3
	0.45527986708973356	1.0	0.618046625546429
