	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;lateral:-;strident:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p	t			ts	k	kʷ	5/7	0.9886943252779881
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b	d		-	dz	ɡ	ɡʷ	5/6	0.9959795775935659
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	ɗ	-	-	-		-	2/3	0.8107532824294101
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f		ɬ	-	s			3/6	0.7533473516584047
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd				ŋɡ	ŋɡʷ	4/7	0.8835522376750917
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v		ɮ	nz	z			4/7	0.6921696656473457
	6/6	4/6	2/5	1/3	4/5	3/6	3/5
	1.0	0.9706091235629497	0.6116655364872736	0.13746046576838197	0.9962669544183135	0.8116339268067924	0.7363744930152132
