	labial:+;coronal:-;lateral:-;strident:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;lateral:-;strident:-,+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	ɬ	s	3/3	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	ɮ	z	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-			nz	1/3	0.49621638942721824
	2/3	2/3	3/3
	0.9965499950021582	0.9999220885116048	1.0
