	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
spreadGlottis:-	p	t̪|t	k	3/3	1.0
spreadGlottis:+	pʰ	t̪ʰ|tʰ	kʰ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
