	labial:+;coronal:-;lateral:-;strident:0;anterior:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:+;strident:-;anterior:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	v			1/3	0.38396824467810764
periodicGlottalSource:-	f	ɬ̪|ɬ	ʃ	3/3	1.0
	2/2	1/2	1/2
	1.0	0.9025748456519439	0.7881034495812258
