	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	d̪ð̪	d̠ʒ	ɡ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;category:fricative		-	sʰ			1/4	0.8794131416068168
periodicGlottalSource:+;spreadGlottis:-;category:fricative			z			1/5	0.33893848448995006
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	t̪θ̪	t̠ʃ	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:fricative			s	ʃ		2/5	0.5721636024312992
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	tʰ		t̠ʃʰ	kʰ	4/5	0.8103285901426601
	3/6	3/5	5/6	4/6	3/6
	0.7752650415826785	0.9404722326436147	0.9240105372772037	0.9234605101592143	0.8214412129899566
