	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+	sʰ		1/2	0.9867994015732099
periodicGlottalSource:+;spreadGlottis:-	z		1/2	0.730813295639304
periodicGlottalSource:-;spreadGlottis:-	s	ʃ	2/2	1.0
	3/3	1/3
	1.0	0.7783099598471955
