	labiodental:0;strident:-;anterior:+;high:0;low:0;front:0;back:0;round:0	labiodental:0;strident:+;anterior:-;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	d̪ð̪	d̠ʒ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:-	t̪θ̪	t̠ʃ	2/2	1.0
periodicGlottalSource:-;spreadGlottis:+		t̠ʃʰ	1/2	0.9093077351762936
	2/3	3/3
	0.8495406094751797	1.0
