	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+			ʒ		1/4	0.1357376930852013
periodicGlottalSource:-	ɸ	s	ʃ	x	4/4	1.0
	1/2	1/2	2/2	1/2
	0.6625210710769323	0.7931118804251478	1.0	0.7044347480298516
