	labiodental:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	labiodental:+;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	v	2/2	1.0
periodicGlottalSource:-	ɸ		1/2	0.21758436845014748
	2/2	1/2
	1.0	0.23903373757530796
