	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b	d			2/4	0.6457479955478578
periodicGlottalSource:-	p	t	k	kʷ	4/4	1.0
	2/2	2/2	1/2	1/2
	1.0	1.0	0.7131090135848781	0.8209037735575385
