	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b	d̪		ɡ	3/4	0.9255984492109846
periodicGlottalSource:-	p	t̪	c	k	4/4	1.0
	2/2	2/2	1/2	2/2
	1.0	1.0	0.5397368573575658	1.0
