	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;round:0	labial:-,+;labiodental:-;coronal:+;strident:+;dorsal:-;round:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+;round:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	ts		kp	k	5/6	0.998251660637101
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b	d			ɡb	ɡ	4/6	0.8751597902510269
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	ɗ	-	-	-		2/3	0.8107532824294101
periodicGlottalSource:+;category:fricative	v		z		-		2/5	0.6853345513138706
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd	ndz	-	ŋmɡb	ŋɡ	5/5	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	sʷ	-		3/5	0.7299177593569747
	6/6	4/6	4/5	1/4	3/3	3/6
	1.0	0.9279009024247685	0.9026532769926123	0.2861558600526077	1.0	0.8116440050673391
