	labial:+;labiodental:+;coronal:-;high:0;low:0;front:0;back:0;round:-	labial:-;labiodental:0;coronal:+;high:0;low:0;front:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;high:0;low:0;front:0;back:0;round:+	count	markedness_count
periodicGlottalSource:+	v	z		2/3	0.9767721184756426
periodicGlottalSource:-	f	s	sʷ	3/3	1.0
	2/2	2/2	1/2
	1.0	1.0	0.56736718991663
