	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;distributed:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:-;dorsal:-;front:0;category:affricate | labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:-;dorsal:-;front:0;category:fricative	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;distributed:-;dorsal:-;front:0;category:plosive	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-,+;distributed:-,+;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:-,-,+;distributed:-,-,+;dorsal:-,-,+;front:+ | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	p	t̪s̪	t͇s͇		t	k	tɕ	6/7	0.9920082329577815
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b	d̪z̪	d͇z͇		d	ɡ	dʑ	6/7	0.9983704757995663
periodicGlottalSource:+;category:fricative	v	z̪	z͇				ʑ	4/7	0.41475163797925646
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-;category:affricate	pʰ	t̪s̪ʰ	t͇s͇ʰ		tʰ	kʰ	tɕʰ	6/7	0.9921010932491771
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-;category:affricate	mb	n̪d̪z̪	nd͇z͇	-	nd	ŋɡ	ndʑ	6/6	1.0
periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+,-,-;spreadGlottis:-,-,+;sonorant:+,-,-;nasal:+,-,-;category:plosive | periodicGlottalSource:+,-,-;spreadGlottis:-,-,+;sonorant:+,-,-;nasal:+,-,-;category:affricate	mpʰ	n̪t̪s̪ʰ	nt͇s͇ʰ	-	ntʰ	ŋkʰ	ntɕʰ	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪	s͇	ɬ		x	ɕ	6/7	0.5808475682201892
	7/7	7/7	7/7	1/5	5/7	6/7	7/7
	1.0	1.0	1.0	0.5780544601446944	0.6619429604166265	0.9499436191525397	1.0
