	labial:+;coronal:-;lateral:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;lateral:+;strident:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;lateral:-;strident:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;lateral:-;strident:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	v	z̪		z͇	ʑ		4/6	0.762235560602867
periodicGlottalSource:-	f	s̪	ɬ	s͇	ɕ	x	6/6	1.0
	2/2	2/2	1/2	2/2	2/2	1/2
	1.0	1.0	0.9048884957099266	1.0	1.0	0.702580939132563
