	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		tʼ		kʼ	2/4	0.7675327972072944
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-	b	d			2/4	0.6627814611861506
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t	tʲ	k	4/4	1.0
	2/3	3/3	1/3	2/3
	0.9267550406691328	1.0	0.626000949530262	0.7188207919287765
