	tʼ		kʼ	2/4	0.7675327972072944
b	d			2/4	0.6627814611861506
p	t	tʲ	k	4/4	1.0
2/3	3/3	1/3	2/3
0.9267550406691328	1.0	0.626000949530262	0.7188207919287765
