	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b		ɡ	2/3	0.6532073768512385
periodicGlottalSource:-		t	k	2/3	0.7407391023801491
	1/2	1/2	2/2
	0.35307331597901326	0.6982137273139257	1.0
