	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-,+;dorsal:-,+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b		ɡ	dʑ	3/4	0.554248194486632
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s		ɕ	3/4	0.8456635278633845
periodicGlottalSource:-;category:affricate|plosive		t	k	tɕ	3/4	0.8088819440827157
	2/3	2/3	2/3	3/3
	0.45512437056774824	0.8097752839950455	0.8784718635754256	1.0
