	labiodental:0;strident:+;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+		d̠ʒ	dʑ	2/3	0.6571801930959825
periodicGlottalSource:-	t̪s	t̠ʃ	tɕ	3/3	1.0
	1/2	2/2	2/2
	0.8225861979992495	1.0	1.0
