	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	b		ɟ	ɡ	3/4	0.6697545193947245
periodicGlottalSource:-	p	t		k	3/4	0.9597737755223655
	2/2	1/2	1/2	2/2
	1.0	0.7008806820480471	0.46026314264243406	1.0
