	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:+	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̻	d̠ʒ	ɟ	ɡ	5/5	1.0
periodicGlottalSource:+;category:fricative		z̻	ʒ			2/5	0.5876677560163287
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̻	ʃ			3/5	0.8542652526121594
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̻ʰ	t̠ʃʰ	cʰ	kʰ	5/5	1.0
	3/4	4/4	4/4	2/4	2/4
	0.868715052064713	1.0	1.0	0.7361921079548767	0.6280183238744621
