	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̻	ɟ	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̻ʰ	cʰ	kʰ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
