	labial:+;coronal:-;anterior:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:+;high:0;low:0;front:0;back:0	labial:-;coronal:+;anterior:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		z̻	ʒ	2/3	0.6518914261476564
periodicGlottalSource:-	f	s̻	ʃ	3/3	1.0
	1/2	2/2	2/2
	0.6625450972908989	1.0	1.0
