	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:- | labial:-;coronal:+;distributed:+;dorsal:-;strident:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-	b	d̪	ɡ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:+		t̰		1/3	0.2838715744027473
periodicGlottalSource:-;constrictedGlottis:-	p	t̪	k	3/3	1.0
	2/3	3/3	2/3
	0.9909108489623085	1.0	0.9897685500195003
