	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ		kʰ	3/4	0.9495385262205662
	3/3	3/3	2/3	3/3
	1.0	1.0	0.890526140260328	1.0
