	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d		2/3	0.6622669910337713
periodicGlottalSource:-;spreadGlottis:-	p	t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+		tʰ		1/3	0.32570193533233804
	2/3	3/3	1/3
	0.8929223597414414	1.0	0.5973729913246332
