		dz		1/4	0.12464240031201546
ɓ	ɗ	-		2/3	0.8105931977093616
β				1/4	0.26975499175017215
p	t	ts	k	4/4	1.0
pʰ	tʰ	tsʰ	kʰ	4/4	1.0
4/5	3/5	3/4	2/5
0.711870577861698	0.7237958923154749	0.8268297616857428	0.6783639849985994
