	labial:+;labiodental:-;coronal:-;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	z	ʒ	ʁ	4/4	1.0
periodicGlottalSource:-	f	s	ʃ	χ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
