	labial:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;back:0;round:-	labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:-;anterior:+;distributed:-,+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:0;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:-,+;anterior:+;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:-;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:-;dorsal:-;high:0;back:0;round:0	labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0 | labial:-;coronal:+;lateral:-;strident:-,+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:0 | labial:-;coronal:+;lateral:-;strident:+;anterior:+;distributed:+;dorsal:+;high:+;back:-;round:0;front:+ | labial:-;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;back:-;round:0;front:+ | labial:-;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;back:-;round:0;low:-;front:+	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+ | labial:-,-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;back:-;round:+ | labial:-,+;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;back:-;round:+;front:+ | labial:-,-,+;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;back:-;round:+;front:+ | labial:-,+;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:+;low:0;front:0 | labial:-,-,+;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;round:+;low:0;front:0	labial:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:0	labial:-,+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;back:+;round:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:plosive	p	-	t̪	-	k	kʷ			4/6	0.9418772340537336
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	ɸ	ɬ	s	ʃ	x	xʷ	χ	χʷ	8/8	1.0
	2/2	1/1	2/2	1/1	2/2	2/2	1/2	1/2
	1.0	1.0	1.0	1.0	1.0	1.0	0.5067738913726708	0.6333639180880767
