	labial:+;labiodental:-;coronal:-;dorsal:- | labial:+;labiodental:+;coronal:-;dorsal:-	labial:-;labiodental:0;coronal:+;dorsal:-	labial:-;labiodental:0;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	β		ɣ	2/3	0.5116339842519897
periodicGlottalSource:-	f	s		2/3	0.8043223690444741
	2/2	1/2	1/2
	1.0	0.7903072196662834	0.29522793278914716
