	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:-;lateral:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;strident:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪	d	ɟ	ɡ	5/5	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪	t	c	k	5/5	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative					ɣ	1/5	0.21343245332885982
	2/3	2/3	2/3	2/3	3/3
	0.9123322657175857	0.8206126281485666	0.9049649648167148	0.9447207101374923	1.0
