	labial:+;coronal:-;dorsal:- | labial:+;coronal:-;dorsal:-,+;front:-;round:- | labial:+;coronal:-;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+ | labial:-;coronal:+;dorsal:+;anterior:-;distributed:+;strident:-;front:+	count	markedness_count
periodicGlottalSource:+;category:plosive	b			1/3	0.31421927817190926
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪	k	3/3	1.0
	2/2	1/2	1/2
	1.0	0.6982137273139257	0.7131090135848781
