	labial:+;coronal:-;dorsal:-;high:0;front:0;back:0	labial:-;coronal:+;dorsal:-;high:0;front:0;back:0	labial:-;coronal:-;dorsal:+;high:+;front:-,+;back:-	labial:-;coronal:-;dorsal:+;high:-;front:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɡʲ	ɢ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	kʲʰ	qʰ	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
