	labial:+;coronal:-;anterior:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;dorsal:+;front:+	labial:-;coronal:-;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d̪	ɟ	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t̪	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	t̪ʰ	cʰ	kʰ	4/4	1.0
	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0
