	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪	d̪z̪|dz	ɟ	ɡ	5/5	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f		s̪|s			2/5	0.7357860819025064
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪	t̪s̪|ts	c	k	5/5	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ	t̪s̪ʰ|tsʰ	cʰ	kʰ	5/5	1.0
	4/4	3/4	4/4	3/4	3/4
	1.0	0.9500002136324452	1.0	0.8804773195954637	0.867369699552435
