	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:-	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d̪		ɟ	ɡ	4/5	0.9754394626034215
periodicGlottalSource:+;loweredLarynxImplosive:+		ɗ				1/5	0.3756310046649344
periodicGlottalSource:-;loweredLarynxImplosive:-	p	t̪	ʈ	c	k	5/5	1.0
	2/3	3/3	1/3	2/3	2/3
	0.9673403755413231	1.0	0.8174519143642547	0.9483002079027533	0.9942958712195662
