	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d̪	ɡb	ɡ	4/4	1.0
periodicGlottalSource:-		t̪	kp	k	3/4	0.7423122056502383
	1/2	2/2	2/2	2/2
	0.35307331597901326	1.0	1.0	1.0
