	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-	b	d	ɡ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-		tʰ	kʰ	2/3	0.7321789877867484
	2/3	3/3	3/3
	0.7724540376353491	1.0	1.0
