	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s		2/3	0.804261201128632
periodicGlottalSource:+;sonorant:-;nasal:-	v		ɣ	2/3	0.5116361249899761
periodicGlottalSource:+;sonorant:+,-;nasal:+,-			ŋɣ	1/3	0.05390728216943741
	2/3	1/3	2/3
	0.9965505051641664	0.790252372465684	0.2952279327891472
