	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:plosive		d̪	ɡ	2/3	0.5695768705390002
periodicGlottalSource:+;spreadGlottis:-;category:affricate	bv			1/3	0.002845964217355889
periodicGlottalSource:+;category:fricative	v	z	ʝ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪	k	3/3	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s	ç	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:plosive	pʰ	t̪ʰ	kʰ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;category:affricate | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate	pf	ts	cç	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;category:affricate | periodicGlottalSource:-;spreadGlottis:+,-,+;category:affricate | periodicGlottalSource:+,-;spreadGlottis:+;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+,-;spreadGlottis:-,+;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+,-;spreadGlottis:+,-,+;sonorant:+,-;nasal:+,-;category:affricate		tsʰ	cçʰ	2/3	0.9995812702098835
	6/8	7/8	7/8
	0.7301175353741439	0.9243292931768826	0.9947591917377216
