	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-;lateral:-;distributed:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-,+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-,+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-,+;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-,+;distributed:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:+;front:-;back:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;front:-;back:+;retractedTongueRoot:- | labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;high:-;front:-;back:+;retractedTongueRoot:+;low:+	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;high:+;front:+;back:-;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;high:+;front:+;back:-;retractedTongueRoot:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-;distributed:+;low:0	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪	d̪ˤ	ɡ		ɟ	5/6	0.9818362415782619
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive		t̪	t̪ˤ	k	q		4/6	0.6993227203902358
periodicGlottalSource:+;category:fricative		z̪	z̪ˤ		ʁ	ʒ	4/6	0.7070734805847442
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪			χ	ʃ	4/6	0.9305655675269626
	2/4	4/4	3/4	2/4	3/4	3/4
	0.42232238171219566	1.0	0.7476151490779779	0.8629198650392045	0.9193250017660627	0.8570131284516349
