	labial:+;coronal:-;anterior:0;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;dorsal:-;retractedTongueRoot:-,+	labial:-;coronal:+;anterior:-;dorsal:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;dorsal:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+		z̪	z̪ˤ	ʒ	ʁ	4/5	0.7298978422991643
periodicGlottalSource:-	f	s̪		ʃ	χ	4/5	0.9993313413649246
	1/2	2/2	1/2	2/2	2/2
	0.663071436692831	1.0	0.625266806145523	1.0	1.0
