	labial:+;coronal:-;anterior:0;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-	labial:-;coronal:+;anterior:+;dorsal:-;high:0;front:0;back:0;retractedTongueRoot:-,+	labial:-;coronal:+;anterior:-;dorsal:+;high:+;front:+;back:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;dorsal:+;high:+;front:-;back:-;retractedTongueRoot:-	labial:-;coronal:-;anterior:0;dorsal:+;high:-;front:-;back:+;retractedTongueRoot:-	count	markedness_count
periodicGlottalSource:+	b	d̪	d̪ˤ	ɟ	ɡ		5/6	0.9818362415782619
periodicGlottalSource:-		t̪	t̪ˤ		k	q	4/6	0.6993227203902358
	1/2	2/2	2/2	1/2	2/2	1/2
	0.35297419651948103	1.0	1.0	0.46026314264243406	1.0	0.8712310022359617
