	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;high:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;high:0;front:0;back:0	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;high:+;front:-;back:-	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;high:-;front:-;back:+	labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-,+;dorsal:-,+;high:+;front:+;back:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;high:+;front:+;back:-	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate|plosive	p	t	ts	k	q	tɕ	6/6	1.0
periodicGlottalSource:-,+;spreadGlottis:-;constrictedGlottis:+,-;raisedLarynxEjective:+,-;sonorant:-;nasal:-;category:affricate|plosive	ʼb	ʼd	-	ʼɡ	-	-	3/3	1.0
periodicGlottalSource:-,+;constrictedGlottis:+,-;raisedLarynxEjective:+,-;category:fricative	-	-	-	ʼɣ	-	-	1/1	1.0
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative	v		z	ɣ	ʁ		4/6	0.8978209986759934
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate	pʰ	tʰ	tsʰ	kʰ	qʰ	tɕʰ	6/6	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:affricate | periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:plosive | periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-;category:affricate	mb	nd		ɡ	ɢ		4/6	0.8796030670252877
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:fricative | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:fricative	f		s	x		ɕ	4/6	0.8334673014409616
	6/6	4/6	4/5	7/7	4/5	3/5
	1.0	0.8926412339432219	0.8916322847919972	1.0	0.6892768430720224	0.7189690156288226
