	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-	p	t	k	q	4/4	1.0
periodicGlottalSource:-,+;spreadGlottis:-;constrictedGlottis:+,-;raisedLarynxEjective:+,-;sonorant:-;nasal:-	ʼb	ʼd	ʼɡ	-	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-	pʰ	tʰ	kʰ	qʰ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,- | periodicGlottalSource:+;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:-;nasal:-	mb	nd	ɡ	ɢ	4/4	1.0
	4/4	4/4	4/4	3/3
	1.0	1.0	1.0	1.0
