	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;distributed:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-;distributed:-,+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:0;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;anterior:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-;anterior:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;anterior:-;lateral:-	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:+;anterior:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:+;anterior:-;front:+ | labial:-;labiodental:0;coronal:+;strident:+;distributed:+;dorsal:-,+;anterior:-;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;category:plosive	b	d̪	ɡ	3/3	1.0
periodicGlottalSource:-;category:plosive | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:plosive	p	t̪	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative	f	s		2/3	0.8255438785426303
	3/3	3/3	2/3
	1.0	1.0	0.8668833728480371
