	labial:+;coronal:-;strident:0;distributed:0;high:0;low:0;front:0;back:0	labial:-;coronal:+;strident:-;distributed:+;high:0;low:0;front:0;back:0 | labial:-;coronal:+;strident:+;distributed:-;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+		ð	1/2	0.7059751207064843
periodicGlottalSource:-	f	s	2/2	1.0
	1/2	2/2
	0.6625450972908989	1.0
