	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+			ʑ	1/3	0.03157659452382379
periodicGlottalSource:-	f	s	ɕ	3/3	1.0
	1/2	1/2	2/2
	0.6625210710769323	0.7897727081188559	1.0
