	labial:-;strident:+;distributed:-;dorsal:-	labial:-;strident:-,+;distributed:-,+;dorsal:-,+	labial:-,-,+;strident:-,+;distributed:-,+;dorsal:-,+,+	count	markedness_count
periodicGlottalSource:+		dʑ	dʑᶣ	2/3	0.07586493951924474
periodicGlottalSource:-	ts	tɕ	tɕᶣ	3/3	1.0
	1/2	2/2	2/2
	0.792872961647642	1.0	1.0
