	labial:+;coronal:-;dorsal:-;front:0;round:-	labial:-;coronal:+;dorsal:-;front:0;round:0	labial:-,+;coronal:+;dorsal:-,+;front:+;round:+	labial:-;coronal:-;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+	b	d	dᶣ	ɡ	4/4	1.0
periodicGlottalSource:-	p	t	-	k	3/3	1.0
	2/2	2/2	1/1	2/2
	1.0	1.0	1.0	1.0
