	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v		ʒ	ɣ	3/4	0.6492299166154812
periodicGlottalSource:-	f	s	ʃ		3/4	0.8028439337269635
	2/2	1/2	2/2	1/2
	1.0	0.7931118804251478	1.0	0.2955652519701484
