	labiodental:0;coronal:+;distributed:+;dorsal:-;front:0;round:0	labiodental:0;coronal:+;distributed:-;dorsal:-,+;front:+;round:0	labiodental:0;coronal:+;distributed:+;dorsal:+;front:+;round:0	labiodental:0;coronal:-;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+	z̪	zʲ	ʑ	ɣ	4/4	1.0
periodicGlottalSource:-	s̪	sʲ	ɕ	x	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
