	labial:+;coronal:-;distributed:0;dorsal:-;front:0	labial:-;coronal:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+		z		ɣ	2/4	0.7366780003518502
periodicGlottalSource:-	f	s	ɕ	x	4/4	1.0
	1/2	2/2	1/2	2/2
	0.6625210710769323	1.0	0.7388907479440601	1.0
