	t	kp	c	k	4/5	0.7343141950504313
b	d		ɟ		3/5	0.7231564334139748
mb	nd	ŋmɡb		ŋɡ	4/5	0.9424507629498882
f	s	-			2/4	0.8046063798098784
v	z	-			2/4	0.7570700444993419
ɱv		-	-		1/3	0.5196388031022979
5/6	5/6	2/3	2/5	2/6
0.5024973299057057	0.9995973556321035	0.5190595669597922	0.7926574609666338	0.6206968968765484
