	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0;strident:- | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:+;distributed:0;dorsal:-;front:0;strident:+ | labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0;strident:-;lateral:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+;strident:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;category:plosive	pʼ				1/4	0.23786360123448186
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive	b	d		ɡ	3/4	0.9249463762714673
periodicGlottalSource:+;constrictedGlottis:+;raisedLarynxEjective:-;category:plosive	b̰	d̰	ɟ̰	ɡ̰	4/4	1.0
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;category:plosive | periodicGlottalSource:+,-;constrictedGlottis:-;raisedLarynxEjective:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	c	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			ç		1/4	0.02737920638329898
	4/5	3/5	3/5	3/5
	0.8415570372854534	0.6087534833782747	0.5628955907122054	0.7647259075819476
