	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:+	labial:-,+;labiodental:-;coronal:+;strident:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	s	ʃ	sʷ	ʃʷ	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	β					1/5	0.38585543060109395
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-		ns		-	-	1/3	0.5426922661406209
	2/3	2/3	1/3	1/2	1/2
	0.9996228687759634	0.7897793010606096	0.7842340243465725	0.429550356483215	0.5422640305835951
